frame_number,capture_ts_ms,decode_ts_ms
1038,1451745.756,23634.510
1039,1451762.390,23651.306
1040,1451779.112,23667.632
1041,1451795.755,23684.887
1042,1451812.543,23700.823
1043,1451829.311,23718.941
1044,1451845.895,23734.684
1045,1451862.512,23751.629
1046,1451879.233,23767.667
1047,1451895.923,23785.026
1048,1451912.554,23801.053
1049,1451929.271,23817.922
1050,1451945.916,23834.431
1051,1451962.636,23851.563
1052,1451979.282,23867.432
1053,1451996.244,23885.179
1054,1452012.699,23900.965
1055,1452029.367,23917.944
1056,1452046.019,23934.593
1057,1452062.732,23951.460
1058,1452079.380,23968.667
1059,1452096.102,23985.076
1060,1452112.745,24000.791
1061,1452129.480,24018.002
